iter	MultiClass
0	1.081859266
1	1.069075684
2	1.056962308
3	1.050563162
4	1.042400296
5	1.033598552
6	1.027453229
7	1.021849396
8	1.01793429
9	1.013484004
10	1.011370454
11	1.008138001
12	1.004495328
13	1.002389897
14	0.9991418303
15	0.997006086
16	0.9949766488
17	0.9939580126
18	0.9929720996
19	0.9919006045
20	0.9909240616
21	0.989991484
22	0.9892029493
23	0.9867548998
24	0.9862409882
25	0.985853375
26	0.9845356279
27	0.982688759
28	0.9818119462
29	0.981379629
30	0.9809428594
31	0.9802455109
32	0.9794044981
33	0.9792897493
34	0.979124526
35	0.9773436081
36	0.9765955903
37	0.9763032352
38	0.9759434449
39	0.975709717
40	0.9744971031
41	0.973865826
42	0.9735006515
43	0.9697845122
44	0.9694697677
45	0.9692123979
46	0.9688577911
47	0.9685985334
48	0.9682216135
49	0.9678597837
50	0.9676416334
51	0.9674155286
52	0.9673556847
53	0.9669979089
54	0.9665998914
55	0.9662315875
56	0.9660165575
57	0.9646714033
58	0.9634623491
59	0.9632767373
60	0.9629712806
61	0.9627060151
62	0.9624349109
63	0.9622980707
64	0.9618228944
65	0.9615356488
66	0.9613603542
67	0.9611273165
68	0.9609417328
69	0.9606995945
