iter	Passed	Remaining
0	222	221951
1	493	246085
2	759	252395
3	1046	260455
4	1294	257636
5	1556	257794
6	1816	257686
7	2064	256033
8	2343	258002
9	2629	260278
10	2931	263575
11	3199	263410
12	3471	263550
13	3731	262804
14	3991	262083
15	4318	265585
16	5250	303627
17	6158	335968
18	7063	364677
19	7962	390158
20	8913	415555
21	9843	437602
22	10695	454315
23	11533	469037
24	12363	482191
25	13197	494386
26	14042	506059
27	14941	518696
28	15796	528900
29	16645	538193
30	17508	547288
31	18372	555766
32	19240	563799
33	20095	570943
34	20929	577056
35	21752	582471
36	22569	587426
37	23402	592447
38	24221	596853
39	25032	600773
40	25871	605131
41	26703	609088
42	27535	612822
43	28337	615685
44	29132	618251
45	30025	622696
46	30941	627378
47	31886	632421
48	32773	636078
49	33759	641434
50	34860	648677
51	36288	661572
52	37697	673575
53	39412	690440
54	41121	706543
55	43074	726120
56	45221	748131
57	47148	765757
58	49383	787619
59	51753	810802
60	54168	833847
61	56569	855845
62	58842	875162
63	61127	893991
64	63284	910329
65	65458	926333
66	67564	940858
67	69674	954944
68	71708	967550
69	73603	977878
